Date,Open,High,Low,Close,Adj Close,Volume
2017-09-19,3.300000,3.300000,3.250000,3.250000,3.187840,1700
2017-09-20,3.250000,3.300000,3.210000,3.300000,3.236884,2100
2017-09-21,3.200000,3.300000,3.200000,3.200000,3.138796,2400
2017-09-22,3.300000,3.300000,3.250000,3.300000,3.236884,1300
2017-09-25,3.240000,3.250000,3.220000,3.250000,3.187840,1500
2017-09-26,3.300000,3.300000,3.250000,3.250000,3.187840,1000
2017-09-27,3.200000,3.200000,3.150000,3.200000,3.138796,2600
2017-09-28,3.200000,3.200000,3.200000,3.200000,3.138796,1400
2017-09-29,3.250000,3.250000,3.150000,3.250000,3.187840,5300
2017-10-02,3.250000,3.350000,3.250000,3.300000,3.236884,11100
2017-10-03,3.350000,3.350000,3.250000,3.250000,3.187840,4400
2017-10-04,3.260000,3.350000,3.260000,3.350000,3.285927,4000
2017-10-05,3.400000,3.450000,3.250000,3.400000,3.334971,13100
2017-10-06,3.250000,3.400000,3.250000,3.400000,3.334971,900
2017-10-09,3.400000,3.400000,3.400000,3.400000,3.334971,0
2017-10-10,3.400000,3.400000,3.300000,3.340000,3.276118,2300
2017-10-11,3.400000,3.400000,3.250000,3.300000,3.236884,2200
2017-10-12,3.370000,3.450000,3.250000,3.250000,3.187840,5900
2017-10-13,3.250000,3.400000,3.250000,3.400000,3.334971,1300
2017-10-16,3.350000,3.400000,3.250000,3.300000,3.236884,2800
2017-10-17,3.300000,3.300000,3.300000,3.300000,3.236884,0
2017-10-18,3.400000,3.550000,3.250000,3.250000,3.187840,10500
2017-10-19,3.250000,3.250000,3.250000,3.250000,3.187840,800
2017-10-20,3.300000,3.350000,3.200000,3.350000,3.285927,2700
2017-10-23,3.200000,3.450000,3.200000,3.250000,3.187840,9000
2017-10-24,3.400000,3.400000,3.340000,3.400000,3.334971,1800
2017-10-25,3.250000,3.250000,3.040000,3.100000,3.040709,12500
2017-10-26,3.200000,3.250000,3.200000,3.250000,3.187840,700
2017-10-27,3.250000,3.500000,3.250000,3.500000,3.433058,2700
2017-10-30,3.500000,3.550000,3.500000,3.550000,3.482102,4100
2017-10-31,3.550000,3.550000,3.550000,3.550000,3.482102,0
2017-11-01,3.700000,3.800000,3.550000,3.800000,3.727320,9600
2017-11-02,3.650000,3.650000,3.080000,3.650000,3.580189,4300
2017-11-03,3.650000,3.650000,3.510000,3.600000,3.531146,1300
2017-11-06,3.600000,3.650000,3.600000,3.600000,3.531146,8800
2017-11-07,3.400000,3.400000,3.400000,3.400000,3.334971,200
2017-11-08,3.650000,3.650000,3.450000,3.450000,3.384015,1400
2017-11-09,3.500000,3.500000,3.500000,3.500000,3.433058,600
2017-11-10,3.650000,3.650000,3.500000,3.500000,3.433058,1700
2017-11-13,3.500000,3.500000,3.500000,3.500000,3.433058,0
2017-11-14,3.650000,3.800000,3.550000,3.600000,3.531146,2300
2017-11-15,3.800000,3.800000,3.650000,3.650000,3.580189,1000
2017-11-16,3.550000,3.650000,3.550000,3.650000,3.580189,900
2017-11-17,3.800000,3.800000,3.600000,3.600000,3.531146,1500
2017-11-20,3.700000,3.800000,3.700000,3.790000,3.717512,3400
2017-11-21,3.750000,3.800000,3.600000,3.600000,3.531146,1400
2017-11-22,3.800000,3.800000,3.700000,3.700000,3.629233,1200
2017-11-24,3.690000,3.700000,3.600000,3.700000,3.629233,1200
2017-11-27,3.610000,3.700000,3.510000,3.600000,3.531146,7500
2017-11-28,3.630000,3.630000,3.630000,3.630000,3.560572,600
2017-11-29,3.700000,3.700000,3.690000,3.700000,3.629233,7400
2017-11-30,3.760000,3.770000,3.600000,3.600000,3.531146,3300
2017-12-01,3.660000,3.700000,3.500000,3.700000,3.629233,900
2017-12-04,3.500000,3.600000,3.300000,3.600000,3.531146,1600
2017-12-05,3.740000,3.740000,3.450000,3.500000,3.433058,2200
2017-12-06,3.630000,3.630000,3.630000,3.630000,3.560572,35700
2017-12-07,3.600000,3.600000,3.500000,3.500000,3.433058,3800
2017-12-08,3.500000,3.500000,3.350000,3.450000,3.384015,2100
2017-12-11,3.400000,3.450000,3.200000,3.350000,3.285927,10000
2017-12-12,3.200000,3.350000,3.100000,3.100000,3.040709,20500
2017-12-13,3.150000,3.200000,3.000000,3.150000,3.089753,13000
2017-12-14,3.080000,3.450000,3.080000,3.400000,3.334971,5900
2017-12-15,3.390000,3.600000,3.210000,3.550000,3.482102,10700
2017-12-18,3.300000,3.700000,3.300000,3.700000,3.629233,8000
2017-12-19,3.400000,3.750000,3.400000,3.750000,3.678277,5100
2017-12-20,3.600000,3.700000,3.430000,3.450000,3.384015,3100
2017-12-21,3.600000,4.000000,3.600000,3.850000,3.776364,6300
2017-12-22,3.850000,3.850000,3.600000,3.850000,3.776364,5700
2017-12-26,3.650000,3.650000,3.500000,3.600000,3.531146,6300
2017-12-27,3.550000,3.550000,3.350000,3.350000,3.285927,3400
2017-12-28,3.550000,3.550000,3.250000,3.250000,3.187840,9900
2017-12-29,3.590000,3.590000,3.300000,3.400000,3.334971,2400
2018-01-02,3.460000,3.460000,3.250000,3.250000,3.187840,2300
2018-01-03,3.490000,3.490000,3.250000,3.350000,3.285927,24300
2018-01-04,3.350000,3.400000,3.250000,3.250000,3.187840,2800
2018-01-05,3.250000,3.650000,3.250000,3.650000,3.580189,7600
2018-01-08,3.600000,3.600000,3.350000,3.350000,3.285927,12800
2018-01-09,3.350000,3.440000,3.350000,3.400000,3.334971,2000
2018-01-10,3.350000,3.350000,3.330000,3.350000,3.285927,1500
2018-01-11,3.300000,3.350000,3.300000,3.350000,3.285927,1900
2018-01-12,3.300000,3.350000,3.300000,3.350000,3.285927,3700
2018-01-16,3.250000,3.350000,3.250000,3.300000,3.236884,5900
2018-01-17,3.300000,3.350000,3.250000,3.350000,3.285927,2700
2018-01-18,3.300000,3.350000,3.300000,3.350000,3.285927,2300
2018-01-19,3.400000,3.500000,3.400000,3.490000,3.423249,2900
2018-01-22,3.490000,3.500000,3.490000,3.500000,3.433058,3100
2018-01-23,3.500000,3.500000,3.500000,3.500000,3.433058,1700
2018-01-24,3.450000,3.450000,3.450000,3.450000,3.384015,1700
2018-01-25,3.350000,3.600000,3.350000,3.600000,3.531146,400
2018-01-26,3.600000,3.600000,3.600000,3.600000,3.531146,0
2018-01-29,3.600000,3.850000,3.600000,3.800000,3.727320,8800
2018-01-30,3.750000,3.750000,3.750000,3.750000,3.678277,1300
2018-01-31,3.750000,3.750000,3.750000,3.750000,3.678277,0
2018-02-01,3.750000,3.750000,3.750000,3.750000,3.678277,0
2018-02-02,3.600000,3.600000,3.400000,3.400000,3.334971,1600
2018-02-05,3.500000,3.500000,3.300000,3.300000,3.236884,8500
2018-02-06,3.350000,3.350000,3.350000,3.350000,3.285927,600
2018-02-07,3.350000,3.350000,3.350000,3.350000,3.285927,0
2018-02-08,3.300000,3.300000,3.100000,3.100000,3.040709,7100
2018-02-09,3.150000,3.150000,3.100000,3.100000,3.040709,700
2018-02-12,3.250000,3.250000,3.250000,3.250000,3.187840,200
2018-02-13,3.200000,3.300000,3.200000,3.250000,3.187840,1900
2018-02-14,3.350000,3.350000,3.350000,3.350000,3.285927,200
2018-02-15,3.350000,3.350000,3.350000,3.350000,3.285927,0
2018-02-16,3.450000,3.900000,3.450000,3.500000,3.433058,7900
2018-02-20,3.500000,3.500000,3.500000,3.500000,3.433058,0
2018-02-21,3.450000,3.470000,3.400000,3.470000,3.403632,1300
2018-02-22,3.470000,3.470000,3.470000,3.470000,3.403632,100
2018-02-23,3.510000,3.510000,3.510000,3.510000,3.442867,500
2018-02-26,3.600000,3.600000,3.600000,3.600000,3.531146,300
2018-02-27,3.600000,3.600000,3.600000,3.600000,3.531146,0
2018-02-28,3.500000,3.500000,3.300000,3.450000,3.384015,5300
2018-03-01,3.350000,3.400000,3.350000,3.400000,3.334971,1100
2018-03-02,3.400000,3.400000,3.400000,3.400000,3.334971,0
2018-03-05,3.250000,3.350000,3.250000,3.350000,3.285927,2500
2018-03-06,3.400000,3.400000,3.300000,3.300000,3.236884,2200
2018-03-07,3.500000,3.500000,3.350000,3.350000,3.285927,2100
2018-03-08,3.350000,3.350000,3.350000,3.350000,3.285927,0
2018-03-09,3.360000,3.450000,3.350000,3.350000,3.285927,1500
2018-03-12,3.430000,3.500000,3.350000,3.430000,3.364397,3300
2018-03-13,3.350000,3.350000,3.250000,3.300000,3.236884,5700
2018-03-14,3.300000,3.300000,3.250000,3.300000,3.236884,1900
2018-03-15,3.300000,3.300000,3.210000,3.300000,3.236884,3600
2018-03-16,3.210000,3.300000,3.200000,3.200000,3.138796,2800
2018-03-19,3.200000,3.250000,3.150000,3.250000,3.187840,3000
2018-03-20,3.250000,3.250000,3.250000,3.250000,3.187840,0
2018-03-21,3.250000,3.250000,3.100000,3.250000,3.187840,1300
2018-03-22,3.100000,3.250000,3.100000,3.100000,3.040709,700
2018-03-23,3.130000,3.250000,3.100000,3.250000,3.187840,1100
2018-03-26,3.250000,3.250000,3.250000,3.250000,3.187840,0
2018-03-27,3.250000,3.250000,3.250000,3.250000,3.187840,0
2018-03-28,3.300000,3.300000,3.100000,3.200000,3.138796,2300
2018-03-29,3.100000,3.300000,3.100000,3.300000,3.236884,800
2018-04-02,3.350000,3.350000,3.350000,3.350000,3.285927,600
2018-04-03,3.150000,3.450000,3.150000,3.300000,3.236884,1800
2018-04-04,3.440000,3.450000,3.220000,3.450000,3.384015,700
2018-04-05,3.450000,3.450000,3.450000,3.450000,3.384015,0
2018-04-06,3.440000,3.440000,3.350000,3.350000,3.285927,1000
2018-04-09,3.370000,3.370000,3.150000,3.300000,3.236884,3300
2018-04-10,3.250000,3.250000,3.250000,3.250000,3.187840,600
2018-04-11,3.220000,3.350000,3.220000,3.270000,3.207458,700
2018-04-12,3.240000,3.240000,3.200000,3.200000,3.158112,500
2018-04-13,3.200000,3.200000,3.130000,3.150000,3.108767,4400
2018-04-16,3.150000,3.150000,3.150000,3.150000,3.108767,1000
2018-04-17,3.100000,3.100000,3.100000,3.100000,3.059421,2900
2018-04-18,3.100000,3.120000,3.050000,3.100000,3.059421,7900
2018-04-19,3.150000,3.150000,3.150000,3.150000,3.108767,400
2018-04-20,3.120000,3.120000,3.120000,3.120000,3.079159,600
2018-04-23,3.150000,3.250000,3.150000,3.250000,3.207457,1800
2018-04-24,3.250000,3.250000,3.250000,3.250000,3.207457,0
2018-04-25,3.110000,3.250000,3.110000,3.180000,3.138374,1000
2018-04-26,3.300000,3.300000,3.210000,3.250000,3.207457,5100
2018-04-27,3.150000,3.250000,3.050000,3.250000,3.207457,3000
2018-04-30,3.250000,3.250000,3.250000,3.250000,3.207457,600
2018-05-01,3.250000,3.250000,3.250000,3.250000,3.207457,0
2018-05-02,3.180000,3.300000,3.180000,3.300000,3.256803,1800
2018-05-03,3.300000,3.300000,3.300000,3.300000,3.256803,0
2018-05-04,3.300000,3.300000,3.300000,3.300000,3.256803,0
2018-05-07,3.100000,3.300000,3.100000,3.130000,3.089028,1700
2018-05-08,3.250000,3.250000,3.150000,3.150000,3.108767,1200
2018-05-09,3.100000,3.100000,3.100000,3.100000,3.059421,4400
2018-05-10,3.100000,3.100000,3.100000,3.100000,3.059421,0
2018-05-11,3.000000,3.000000,2.850000,3.000000,2.960730,30700
2018-05-14,3.000000,3.000000,2.700000,2.750000,2.714003,4800
2018-05-15,2.750000,2.950000,2.750000,2.850000,2.812693,23300
2018-05-16,2.850000,2.850000,2.650000,2.750000,2.714003,12100
2018-05-17,2.850000,2.850000,2.750000,2.750000,2.714003,1900
2018-05-18,2.780000,2.780000,2.750000,2.750000,2.714003,1500
2018-05-21,2.850000,2.850000,2.700000,2.700000,2.664657,1900
2018-05-22,2.850000,2.850000,2.560000,2.650000,2.615311,3500
2018-05-23,2.850000,2.850000,2.750000,2.750000,2.714003,2300
2018-05-24,2.750000,2.750000,2.650000,2.650000,2.615311,2200
2018-05-25,2.700000,2.700000,2.700000,2.700000,2.664657,1200
2018-05-29,2.700000,2.700000,2.670000,2.700000,2.664657,1500
2018-05-30,2.850000,2.950000,2.830000,2.850000,2.812693,2200
2018-05-31,2.910000,2.950000,2.750000,2.950000,2.911385,3000
2018-06-01,2.800000,2.950000,2.700000,2.900000,2.862039,4700
2018-06-04,2.830000,2.900000,2.830000,2.900000,2.862039,1600
2018-06-05,2.750000,2.950000,2.750000,2.900000,2.862039,2000
2018-06-06,2.940000,2.940000,2.700000,2.700000,2.664657,3400
2018-06-07,2.720000,2.850000,2.700000,2.750000,2.714003,5500
2018-06-08,2.650000,2.750000,2.650000,2.650000,2.615311,3100
2018-06-11,2.700000,2.700000,2.650000,2.650000,2.615311,2000
2018-06-12,2.670000,2.700000,2.600000,2.600000,2.565966,6800
2018-06-13,2.610000,2.880000,2.600000,2.750000,2.714003,15100
2018-06-14,2.950000,2.950000,2.650000,2.700000,2.664657,4000
2018-06-15,2.700000,2.750000,2.500000,2.500000,2.467275,9300
2018-06-18,2.500000,2.700000,2.300000,2.500000,2.467275,4300
2018-06-19,2.500000,2.550000,2.400000,2.400000,2.368584,2000
2018-06-20,2.350000,2.540000,2.350000,2.450000,2.417929,2100
2018-06-21,2.550000,2.700000,2.460000,2.460000,2.427799,2200
2018-06-22,2.600000,2.600000,2.600000,2.600000,2.565966,1100
2018-06-25,2.650000,2.650000,2.500000,2.500000,2.467275,1500
2018-06-26,2.630000,2.650000,2.600000,2.600000,2.565966,10500
2018-06-27,2.630000,2.700000,2.500000,2.500000,2.467275,5400
2018-06-28,2.500000,2.500000,2.500000,2.500000,2.467275,0
2018-06-29,2.400000,2.700000,2.400000,2.700000,2.664657,5000
2018-07-02,2.750000,2.750000,2.400000,2.550000,2.516620,10000
2018-07-03,2.650000,2.650000,2.550000,2.550000,2.516620,1600
2018-07-05,2.580000,2.580000,2.580000,2.580000,2.546228,1200
2018-07-06,2.600000,2.660000,2.450000,2.450000,2.417929,6800
2018-07-09,2.600000,2.600000,2.350000,2.350000,2.319238,11400
2018-07-10,2.400000,2.450000,2.400000,2.450000,2.417929,5400
2018-07-11,2.500000,2.500000,2.450000,2.450000,2.417929,2100
2018-07-12,2.420000,2.420000,2.420000,2.420000,2.388322,300
2018-07-13,2.400000,2.400000,2.350000,2.390000,2.358715,1100
2018-07-16,2.440000,2.440000,2.430000,2.430000,2.398191,700
2018-07-17,2.380000,2.700000,2.380000,2.700000,2.664657,9900
2018-07-18,2.550000,2.700000,2.450000,2.650000,2.615311,8300
2018-07-19,2.550000,2.550000,2.550000,2.550000,2.516620,200
2018-07-20,2.600000,2.600000,2.500000,2.600000,2.565966,5000
2018-07-23,2.500000,2.630000,2.500000,2.560000,2.526489,6800
2018-07-24,2.600000,2.600000,2.500000,2.600000,2.565966,5700
2018-07-25,2.400000,2.400000,2.400000,2.400000,2.368584,1000
2018-07-26,2.350000,2.400000,2.350000,2.400000,2.368584,2800
2018-07-27,2.600000,2.600000,2.550000,2.550000,2.516620,1400
2018-07-30,2.550000,2.550000,2.350000,2.480000,2.447537,1500
2018-07-31,2.450000,2.600000,2.320000,2.600000,2.565966,1800
2018-08-01,2.600000,2.600000,2.600000,2.600000,2.565966,0
2018-08-02,2.360000,2.650000,2.360000,2.650000,2.615311,900
2018-08-03,2.650000,2.650000,2.650000,2.650000,2.615311,0
2018-08-06,2.650000,2.650000,2.650000,2.650000,2.615311,0
2018-08-07,2.360000,2.600000,2.200000,2.500000,2.467275,9300
2018-08-08,2.500000,2.500000,2.500000,2.500000,2.467275,500
2018-08-09,2.500000,2.500000,2.500000,2.500000,2.467275,100
2018-08-10,2.550000,2.600000,2.550000,2.550000,2.516620,2300
2018-08-13,2.400000,2.650000,2.400000,2.400000,2.368584,1400
2018-08-14,2.650000,2.900000,2.400000,2.400000,2.368584,17200
2018-08-15,2.850000,2.850000,2.800000,2.800000,2.763348,1100
2018-08-16,2.830000,2.830000,2.570000,2.650000,2.615311,1400
2018-08-17,2.650000,2.650000,2.650000,2.650000,2.615311,0
2018-08-20,2.450000,2.700000,2.300000,2.550000,2.516620,4900
2018-08-21,2.680000,2.680000,2.450000,2.550000,2.516620,2200
2018-08-22,2.650000,2.650000,2.650000,2.650000,2.615311,700
2018-08-23,2.600000,2.600000,2.600000,2.600000,2.565966,700
2018-08-24,2.600000,2.700000,2.600000,2.700000,2.664657,900
2018-08-27,2.500000,2.600000,2.500000,2.500000,2.467275,2700
2018-08-28,2.500000,2.500000,2.500000,2.500000,2.467275,1000
2018-08-29,2.400000,2.450000,2.350000,2.450000,2.417929,5800
2018-08-30,2.540000,2.550000,2.540000,2.550000,2.516620,1200
2018-08-31,2.750000,2.750000,2.750000,2.750000,2.714003,1000
2018-09-04,3.200000,3.200000,2.660000,2.850000,2.812693,9200
2018-09-05,3.000000,3.150000,2.750000,2.850000,2.812693,5400
2018-09-06,2.850000,2.850000,2.850000,2.850000,2.812693,0
2018-09-07,2.900000,2.980000,2.800000,2.980000,2.940992,5800
2018-09-10,3.050000,3.050000,2.950000,3.030000,2.990337,6400
2018-09-11,2.950000,3.030000,2.850000,2.850000,2.812693,4100
2018-09-12,2.750000,3.000000,2.750000,3.000000,2.960730,1600
2018-09-13,2.950000,3.000000,2.600000,3.000000,2.960730,2700
2018-09-14,2.880000,3.000000,2.600000,2.900000,2.862039,3100
2018-09-17,2.650000,3.000000,2.450000,3.000000,2.960730,11300
2018-09-18,2.950000,2.950000,2.950000,2.950000,2.911385,900
2018-09-19,2.600000,2.900000,2.600000,2.900000,2.862039,1200
2018-09-20,2.900000,2.930000,2.480000,2.750000,2.714003,20300
2018-09-21,2.700000,2.700000,2.350000,2.600000,2.565966,9900
2018-09-24,2.400000,2.650000,2.400000,2.650000,2.615311,3600
2018-09-25,2.590000,2.590000,2.350000,2.550000,2.516620,1400
2018-09-26,2.420000,2.600000,2.300000,2.600000,2.565966,3600
2018-09-27,2.580000,2.580000,2.300000,2.500000,2.467275,9800
2018-09-28,2.550000,2.550000,2.500000,2.500000,2.467275,4600
2018-10-01,2.550000,2.600000,2.400000,2.600000,2.565966,2400
2018-10-02,2.700000,2.700000,2.450000,2.450000,2.417929,5900
2018-10-03,2.570000,2.700000,2.570000,2.610000,2.575835,1500
2018-10-04,2.600000,2.600000,2.310000,2.500000,2.467275,5600
2018-10-05,2.500000,2.500000,2.500000,2.500000,2.467275,0
2018-10-08,2.740000,2.740000,2.370000,2.550000,2.516620,3300
2018-10-09,2.680000,2.780000,2.450000,2.710000,2.674526,1600
2018-10-10,2.680000,2.680000,2.570000,2.600000,2.565966,2900
2018-10-11,2.660000,2.790000,2.660000,2.770000,2.733741,2300
2018-10-12,2.740000,2.980000,2.550000,2.750000,2.714003,18000
2018-10-15,2.780000,2.950000,2.780000,2.900000,2.862039,2300
2018-10-16,2.900000,2.950000,2.670000,2.880000,2.842301,7700
2018-10-17,2.950000,2.950000,2.930000,2.950000,2.911385,2200
2018-10-18,2.750000,2.970000,2.510000,2.950000,2.911385,7700
2018-10-19,2.800000,2.950000,2.800000,2.800000,2.763348,2000
2018-10-22,2.680000,2.790000,2.670000,2.790000,2.753479,2700
2018-10-23,2.790000,2.900000,2.670000,2.750000,2.714003,2900
2018-10-24,2.750000,2.990000,2.680000,2.970000,2.931123,3200
2018-10-25,2.980000,2.980000,2.940000,2.970000,2.931123,4100
2018-10-26,2.940000,2.940000,2.720000,2.930000,2.891646,1800
2018-10-29,2.940000,2.940000,2.710000,2.710000,2.674526,1300
2018-10-30,2.720000,3.100000,2.720000,3.100000,3.059421,3000
2018-10-31,3.050000,3.050000,2.730000,2.800000,2.763348,5100
2018-11-01,2.670000,2.940000,2.670000,2.710000,2.674526,3400
2018-11-02,2.740000,3.100000,2.740000,3.100000,3.059421,3100
2018-11-05,3.100000,3.100000,3.000000,3.100000,3.059421,1300
2018-11-06,3.220000,3.600000,2.960000,3.100000,3.059421,25200
2018-11-07,3.140000,3.570000,2.910000,3.500000,3.454185,10000
2018-11-08,3.180000,3.600000,3.180000,3.600000,3.552876,3800
2018-11-09,3.800000,3.800000,3.220000,3.220000,3.177850,3700
2018-11-12,3.290000,3.420000,3.100000,3.420000,3.375232,5600
2018-11-13,3.110000,3.280000,2.960000,3.200000,3.158112,6600
2018-11-14,3.170000,3.170000,2.840000,2.840000,2.802824,7000
2018-11-15,2.980000,2.980000,2.980000,2.980000,2.940992,400
2018-11-16,2.810000,3.030000,2.810000,3.030000,2.990337,600
2018-11-19,2.930000,3.050000,2.930000,3.050000,3.010075,2800
2018-11-20,3.070000,3.130000,3.020000,3.100000,3.059421,9300
2018-11-21,3.080000,3.090000,2.830000,2.830000,2.792955,1900
2018-11-23,2.850000,3.030000,2.850000,2.940000,2.901515,1700
2018-11-26,2.940000,3.110000,2.660000,2.850000,2.812693,28100
2018-11-27,2.800000,2.890000,2.610000,2.820000,2.783086,3200
2018-11-28,2.810000,2.850000,2.810000,2.850000,2.812693,2400
2018-11-29,2.760000,2.860000,2.760000,2.860000,2.822562,1500
2018-11-30,2.850000,2.880000,2.610000,2.830000,2.792955,6200
2018-12-03,2.860000,2.860000,2.660000,2.660000,2.625181,1300
2018-12-04,2.660000,2.690000,2.650000,2.680000,2.644919,2100
2018-12-06,2.680000,2.680000,2.670000,2.680000,2.644919,2600
2018-12-07,2.520000,2.520000,2.420000,2.420000,2.388322,1800
2018-12-10,2.340000,2.420000,2.340000,2.420000,2.388322,3100
2018-12-11,2.370000,2.420000,2.360000,2.420000,2.388322,1700
2018-12-12,2.410000,2.410000,2.350000,2.350000,2.319238,700
2018-12-13,2.410000,2.410000,2.350000,2.350000,2.319238,1800
2018-12-14,2.400000,2.400000,2.400000,2.400000,2.368584,300
2018-12-17,2.400000,2.420000,2.380000,2.420000,2.388322,8800
2018-12-18,2.400000,2.420000,2.330000,2.420000,2.388322,7100
2018-12-19,2.340000,2.390000,2.330000,2.330000,2.299500,3300
2018-12-20,2.330000,2.330000,2.330000,2.330000,2.299500,200
2018-12-21,2.340000,2.340000,2.330000,2.330000,2.299500,4100
2018-12-24,2.370000,2.370000,2.240000,2.370000,2.338976,1300
2018-12-26,2.380000,2.380000,2.240000,2.240000,2.210678,1300
2018-12-27,2.340000,2.370000,2.340000,2.370000,2.338976,1900
2018-12-28,2.250000,2.380000,2.250000,2.380000,2.348846,1500
2018-12-31,2.400000,2.420000,2.390000,2.410000,2.378453,5900
2019-01-02,2.430000,2.490000,2.430000,2.490000,2.457406,1800
2019-01-03,2.510000,2.720000,2.500000,2.650000,2.615311,6900
2019-01-04,2.650000,3.060000,2.650000,2.950000,2.911385,1300
2019-01-07,2.410000,3.060000,2.410000,2.770000,2.733741,2600
2019-01-08,2.890000,2.890000,2.430000,2.650000,2.615311,6200
2019-01-09,2.790000,2.790000,2.790000,2.790000,2.753479,800
2019-01-10,2.430000,2.450000,2.430000,2.450000,2.417929,600
2019-01-11,2.600000,2.600000,2.600000,2.600000,2.565966,1800
2019-01-14,2.570000,2.570000,2.440000,2.490000,2.457406,6300
2019-01-15,2.550000,2.670000,2.460000,2.670000,2.635050,8800
2019-01-16,2.520000,2.520000,2.500000,2.500000,2.467275,1900
2019-01-17,2.620000,2.670000,2.440000,2.500000,2.467275,6000
2019-01-18,2.460000,2.820000,2.460000,2.730000,2.694264,3100
2019-01-22,2.600000,2.600000,2.510000,2.510000,2.477144,1600
2019-01-23,2.510000,2.510000,2.510000,2.510000,2.477144,100
2019-01-24,2.700000,2.820000,2.580000,2.820000,2.783086,3800
2019-01-25,2.550000,2.680000,2.530000,2.660000,2.625181,5900
2019-01-28,2.660000,2.660000,2.660000,2.660000,2.625181,100
2019-01-29,2.660000,2.660000,2.660000,2.660000,2.625181,200
2019-01-30,2.500000,2.560000,2.500000,2.530000,2.496882,4500
2019-01-31,2.650000,2.700000,2.650000,2.700000,2.664657,6600
2019-02-01,2.650000,2.650000,2.650000,2.650000,2.615311,2100
2019-02-04,2.850000,2.850000,2.800000,2.800000,2.763348,3100
2019-02-05,2.800000,2.800000,2.800000,2.800000,2.763348,100
2019-02-06,2.550000,2.550000,2.550000,2.550000,2.516620,700
2019-02-07,2.560000,2.800000,2.560000,2.680000,2.644919,12700
2019-02-08,2.680000,2.680000,2.680000,2.680000,2.644919,200
2019-02-11,2.700000,2.700000,2.580000,2.580000,2.546228,2400
2019-02-12,2.580000,2.580000,2.580000,2.580000,2.546228,100
2019-02-13,2.580000,2.600000,2.580000,2.600000,2.565966,2300
2019-02-14,2.740000,2.740000,2.730000,2.730000,2.694264,2900
2019-02-15,2.730000,2.730000,2.730000,2.730000,2.694264,300
2019-02-19,2.730000,2.730000,2.730000,2.730000,2.694264,200
2019-02-20,2.620000,2.750000,2.580000,2.630000,2.595573,6000
2019-02-21,2.630000,2.630000,2.630000,2.630000,2.595573,100
2019-02-22,2.670000,2.850000,2.670000,2.850000,2.812693,4200
2019-02-25,2.910000,2.910000,2.790000,2.790000,2.753479,1200
2019-02-26,2.790000,2.800000,2.790000,2.800000,2.763348,1000
2019-02-27,2.800000,2.800000,2.800000,2.800000,2.763348,100
2019-02-28,2.890000,2.890000,2.890000,2.890000,2.852170,2200
2019-03-01,2.850000,2.870000,2.810000,2.860000,2.822562,5000
2019-03-04,2.850000,2.870000,2.850000,2.850000,2.812693,8400
2019-03-05,2.850000,2.850000,2.850000,2.850000,2.812693,200
2019-03-06,2.850000,2.850000,2.850000,2.850000,2.812693,100
2019-03-07,2.700000,2.720000,2.660000,2.660000,2.625181,1500
2019-03-08,2.510000,2.690000,2.510000,2.580000,2.546228,12600
2019-03-11,2.520000,2.520000,2.520000,2.520000,2.487013,1100
2019-03-12,2.520000,2.530000,2.520000,2.520000,2.487013,1700
2019-03-13,2.510000,2.710000,2.310000,2.700000,2.664657,5800
2019-03-14,2.700000,2.700000,2.700000,2.700000,2.664657,200
2019-03-15,2.700000,2.920000,2.700000,2.920000,2.881777,9200
2019-03-18,2.920000,2.920000,2.920000,2.920000,2.881777,100
2019-03-19,2.840000,2.870000,2.810000,2.830000,2.792955,2000
2019-03-20,2.900000,2.900000,2.900000,2.900000,2.862039,1300
2019-03-21,2.910000,2.920000,2.890000,2.890000,2.852170,1000
2019-03-22,2.650000,2.650000,2.650000,2.650000,2.615311,100
2019-03-25,2.640000,2.640000,2.640000,2.640000,2.605442,100
