Date,Open,High,Low,Close,Adj Close,Volume
2013-06-21,16.000000,16.719999,15.390000,16.000000,16.000000,8547700
2013-06-24,15.410000,15.650000,14.170000,14.270000,14.270000,1504400
2013-06-25,14.800000,15.130000,14.710000,14.910000,14.910000,632900
2013-06-26,15.220000,15.220000,14.350000,14.500000,14.500000,523000
2013-06-27,14.360000,14.502000,13.610000,14.000000,14.000000,1065100
2013-06-28,14.180000,14.220000,13.630000,13.970000,13.970000,1140000
2013-07-01,14.250000,14.260000,13.600000,13.700000,13.700000,256800
2013-07-02,13.520000,13.796000,12.900000,13.190000,13.190000,938500
2013-07-03,13.250000,13.250000,12.760000,13.000000,13.000000,341500
2013-07-05,13.200000,13.346000,12.710000,13.230000,13.230000,319000
2013-07-08,13.100000,13.320000,12.980000,13.000000,13.000000,360300
2013-07-09,12.820000,13.180000,12.690000,12.700000,12.700000,634900
2013-07-10,12.600000,12.760000,12.340000,12.450000,12.450000,719300
2013-07-11,12.600000,13.150000,12.600000,13.090000,13.090000,918300
2013-07-12,13.290000,14.050000,12.895000,13.990000,13.990000,955200
2013-07-15,14.050000,14.350000,13.990000,14.000000,14.000000,437400
2013-07-16,14.280000,14.290000,12.870000,13.300000,13.300000,2343500
2013-07-17,13.430000,13.480000,12.900000,13.020000,13.020000,674300
2013-07-18,13.200000,13.350000,13.000000,13.260000,13.260000,300500
2013-07-19,13.270000,13.340000,12.940000,13.030000,13.030000,473900
2013-07-22,13.020000,13.270000,12.820000,12.910000,12.910000,319300
2013-07-23,12.760000,13.050000,12.720000,13.030000,13.030000,341800
2013-07-24,13.010000,13.050000,12.500000,12.590000,12.590000,343200
2013-07-25,12.510000,12.790000,12.450000,12.540000,12.540000,162200
2013-07-26,12.500000,12.730000,12.260000,12.330000,12.330000,224200
2013-07-29,12.350000,12.460000,12.010000,12.170000,12.170000,351800
2013-07-30,12.300000,12.360000,12.020000,12.090000,12.090000,237700
2013-07-31,12.180000,12.180000,11.800000,12.030000,12.030000,448000
2013-08-01,12.100000,12.200000,11.910000,12.050000,12.050000,306100
2013-08-02,12.100000,12.330000,11.980000,12.040000,12.040000,106800
2013-08-05,12.000000,12.700000,11.960000,12.630000,12.630000,525500
2013-08-06,13.200000,13.240000,12.660000,12.870000,12.870000,625700
2013-08-07,13.650000,13.890000,12.660000,12.770000,12.770000,1421700
2013-08-08,12.980000,13.030000,11.850000,11.980000,11.980000,675900
2013-08-09,12.000000,12.080000,10.900000,11.020000,11.020000,1024100
2013-08-12,11.020000,11.180000,10.390000,10.450000,10.450000,821500
2013-08-13,10.570000,10.880000,10.410000,10.760000,10.760000,900600
2013-08-14,10.690000,11.770000,10.580000,11.150000,11.150000,895100
2013-08-15,11.270000,11.980000,11.070000,11.390000,11.390000,503200
2013-08-16,11.360000,11.470000,11.070000,11.330000,11.330000,255400
2013-08-19,11.340000,11.340000,10.670000,10.750000,10.750000,253500
2013-08-20,10.930000,11.200000,10.160000,10.170000,10.170000,809500
2013-08-21,10.170000,10.240000,9.710000,9.980000,9.980000,1518200
2013-08-22,10.000000,10.280000,9.790000,10.240000,10.240000,232400
2013-08-23,10.430000,10.430000,10.120000,10.290000,10.290000,537400
2013-08-26,10.340000,10.390000,10.110000,10.270000,10.270000,277500
2013-08-27,10.180000,10.260000,10.100000,10.180000,10.180000,351100
2013-08-28,10.230000,10.860000,10.200000,10.730000,10.730000,607500
2013-08-29,11.100000,11.440000,10.870000,11.220000,11.220000,881300
2013-08-30,11.450000,11.490000,11.070000,11.300000,11.300000,362100
2013-09-03,11.890000,11.900000,11.050000,11.290000,11.290000,456700
2013-09-04,11.450000,11.540000,11.180000,11.330000,11.330000,199300
2013-09-05,11.540000,12.020000,11.240000,11.760000,11.760000,784400
2013-09-06,12.000000,12.290000,11.700000,11.890000,11.890000,805700
2013-09-09,11.970000,12.350000,11.800000,12.040000,12.040000,360000
2013-09-10,12.290000,12.360000,12.070000,12.250000,12.250000,543800
2013-09-11,12.410000,13.750000,12.280000,13.570000,13.570000,3041700
2013-09-12,14.030000,14.980000,13.750000,13.950000,13.950000,3626700
2013-09-13,14.470000,15.230000,14.070000,15.110000,15.110000,1949500
2013-09-16,15.420000,15.800000,14.790000,15.220000,15.220000,1983500
2013-09-17,15.220000,15.780000,15.000000,15.730000,15.730000,1590200
2013-09-18,15.670000,16.490000,15.600000,16.450001,16.450001,1462400
2013-09-19,17.010000,19.110001,16.799999,18.010000,18.010000,2304700
2013-09-20,18.370001,19.180000,18.010000,18.570000,18.570000,2377300
2013-09-23,19.000000,19.100000,17.290001,18.340000,18.340000,1783300
2013-09-24,18.100000,18.750000,17.830000,17.980000,17.980000,1030900
2013-09-25,18.420000,19.000000,18.180000,18.459999,18.459999,1343500
2013-09-26,18.549999,19.799999,18.250000,18.990000,18.990000,2196500
2013-09-27,19.020000,19.180000,18.480000,18.559999,18.559999,698000
2013-09-30,18.120001,18.230000,17.410000,17.770000,17.770000,2456300
2013-10-01,18.000000,18.030001,16.559999,17.059999,17.059999,1230300
2013-10-02,16.900000,17.910000,16.850000,17.500000,17.500000,672800
2013-10-03,17.400000,17.629999,16.760000,17.120001,17.120001,420400
2013-10-04,17.070000,17.639999,17.070000,17.150000,17.150000,551500
2013-10-07,17.000000,17.250000,16.620001,16.950001,16.950001,842600
2013-10-08,17.040001,17.549999,16.889999,17.150000,17.150000,825600
2013-10-09,17.290001,17.290001,16.049999,16.200001,16.200001,961700
2013-10-10,16.389999,17.240000,16.379999,17.139999,17.139999,784400
2013-10-11,17.129999,17.400000,16.799999,16.920000,16.920000,392700
2013-10-14,16.750000,16.799999,16.340000,16.680000,16.680000,350500
2013-10-15,16.750000,16.990000,16.240000,16.370001,16.370001,473500
2013-10-16,16.420000,17.030001,16.400000,16.940001,16.940001,561800
2013-10-17,16.969999,17.840000,16.799999,16.950001,16.950001,765800
2013-10-18,17.000000,17.290001,16.309999,16.690001,16.690001,538100
2013-10-21,16.719999,17.010000,16.350000,16.559999,16.559999,440900
2013-10-22,16.680000,16.680000,15.460000,15.970000,15.970000,771900
2013-10-23,15.860000,16.100000,15.520000,16.090000,16.090000,592300
2013-10-24,16.100000,16.280001,15.900000,16.150000,16.150000,220500
2013-10-25,16.350000,16.799999,16.080000,16.230000,16.230000,467300
2013-10-28,16.510000,18.379999,16.500000,17.860001,17.860001,1493100
2013-10-29,18.400000,18.650000,17.760000,17.830000,17.830000,857500
2013-10-30,17.879999,17.980000,17.570000,17.840000,17.840000,353500
2013-10-31,17.790001,19.200001,17.420000,18.639999,18.639999,1946000
2013-11-01,19.150000,19.490000,18.600000,18.670000,18.670000,1093000
2013-11-04,19.000000,19.110001,18.070000,18.250000,18.250000,664700
2013-11-05,18.459999,18.680000,17.650000,18.590000,18.590000,589900
2013-11-06,18.570000,18.610001,17.600000,18.040001,18.040001,635500
2013-11-07,18.450001,18.540001,17.410000,17.530001,17.530001,524500
2013-11-08,17.480000,19.000000,17.110001,18.750000,18.750000,1085000
2013-11-11,21.870001,24.850000,21.629999,24.150000,24.150000,6004600
2013-11-12,24.350000,25.879999,23.559999,24.910000,24.910000,3303700
2013-11-13,25.530001,28.500000,25.020000,28.299999,28.299999,4296200
2013-11-14,30.500000,31.549999,27.400000,28.799999,28.799999,7566000
2013-11-15,27.969999,29.450001,26.450001,28.059999,28.059999,4343000
2013-11-18,28.150000,28.450001,24.870001,24.900000,24.900000,4186500
2013-11-19,25.600000,26.360001,24.240000,25.150000,25.150000,2464700
2013-11-20,25.820000,27.750000,25.610001,27.639999,27.639999,2679300
2013-11-21,28.459999,30.260000,27.110001,29.700001,29.700001,2890500
2013-11-22,30.000000,30.240000,27.750000,27.780001,27.780001,2153800
2013-11-25,28.000000,28.379999,26.389999,26.730000,26.730000,1170200
2013-11-26,26.549999,28.200001,26.309999,27.490000,27.490000,928200
2013-11-27,27.500000,27.900000,26.549999,26.930000,26.930000,600300
2013-11-29,27.139999,27.139999,26.410000,26.670000,26.670000,292500
2013-12-02,27.469999,31.650000,27.270000,31.309999,31.309999,4754400
2013-12-03,32.000000,34.709999,31.400000,34.299999,34.299999,5712000
2013-12-04,33.830002,35.770000,32.279999,34.340000,34.340000,4029700
2013-12-05,34.220001,34.500000,32.700001,32.889999,32.889999,1676400
2013-12-06,33.860001,33.980000,31.799999,32.889999,32.889999,1267700
2013-12-09,33.009998,33.090000,30.450001,30.620001,30.620001,1943600
2013-12-10,30.240000,31.400000,29.709999,31.059999,31.059999,1414100
2013-12-11,31.049999,31.500000,29.959999,30.080000,30.080000,877900
2013-12-12,29.900000,30.940001,27.590000,29.790001,29.790001,3406900
2013-12-13,29.190001,30.440001,28.260000,29.270000,29.270000,1725900
2013-12-16,29.110001,30.000000,28.500000,28.900000,28.900000,1036200
2013-12-17,28.760000,32.480000,28.559999,30.740000,30.740000,3629200
2013-12-18,27.570000,28.180000,25.799999,25.910000,25.910000,8156300
2013-12-19,27.010000,27.450001,25.330000,25.540001,25.540001,5169900
2013-12-20,25.230000,25.370001,23.910000,24.270000,24.270000,6112700
2013-12-23,24.000000,24.959999,23.719999,24.080000,24.080000,3965700
2013-12-24,24.250000,26.370001,23.309999,25.209999,25.209999,4525100
2013-12-26,26.209999,27.299999,25.549999,26.639999,26.639999,5926700
2013-12-27,27.320000,27.400000,25.250000,25.459999,25.459999,3353000
2013-12-30,25.750000,25.790001,24.500000,25.590000,25.590000,2684900
2013-12-31,25.700001,25.799999,24.530001,24.820000,24.820000,4987700
2014-01-02,24.850000,25.100000,24.120001,24.379999,24.379999,2224900
2014-01-03,24.610001,24.950001,23.559999,23.910000,23.910000,3232700
2014-01-06,24.000000,25.309999,23.370001,23.879999,23.879999,3752300
2014-01-07,24.100000,26.379999,24.010000,26.250000,26.250000,6648500
2014-01-08,26.420000,26.900000,23.809999,23.920000,23.920000,7906900
2014-01-09,24.500000,24.700001,23.820000,24.160000,24.160000,4079900
2014-01-10,24.160000,24.250000,22.250000,22.719999,22.719999,6484900
2014-01-13,22.490000,23.400000,22.110001,23.010000,23.010000,3093400
2014-01-14,23.049999,23.440001,22.530001,23.010000,23.010000,2698900
2014-01-15,23.000000,23.879999,22.610001,22.690001,22.690001,3273100
2014-01-16,22.450001,23.160000,22.129999,23.010000,23.010000,2531000
2014-01-17,22.990000,24.299999,22.830000,23.379999,23.379999,4658200
2014-01-21,23.860001,25.200001,23.490000,24.700001,24.700001,5248800
2014-01-22,24.940001,25.420000,24.209999,25.139999,25.139999,5178300
2014-01-23,24.110001,24.190001,23.000000,24.040001,24.040001,3119700
2014-01-24,23.580000,24.250000,23.110001,23.219999,23.219999,3073900
2014-01-27,23.780001,23.830000,20.660000,21.000000,21.000000,4688700
2014-01-28,21.129999,21.309999,20.709999,21.000000,21.000000,2051700
2014-01-29,20.580000,21.000000,19.799999,20.160000,20.160000,3302000
2014-01-30,20.850000,22.080000,20.200001,21.340000,21.340000,4371100
2014-01-31,20.900000,21.260000,20.350000,20.389999,20.389999,1767500
2014-02-03,20.500000,20.629999,18.570000,18.850000,18.850000,3679700
2014-02-04,19.280001,19.700001,18.950001,19.320000,19.320000,1983800
2014-02-05,19.150000,19.500000,18.180000,19.219999,19.219999,2892500
2014-02-06,19.490000,20.100000,19.200001,19.770000,19.770000,1650900
2014-02-07,19.760000,20.980000,19.309999,20.820000,20.820000,3561200
2014-02-10,21.139999,21.340000,20.549999,20.900000,20.900000,1909300
2014-02-11,21.000000,21.350000,20.700001,21.090000,21.090000,1963700
2014-02-12,21.090000,21.650000,20.950001,21.580000,21.580000,1589200
2014-02-13,21.250000,22.049999,21.010000,21.910000,21.910000,1973000
2014-02-14,22.000000,22.520000,19.770000,19.870001,19.870001,5380800
2014-02-18,20.110001,20.250000,19.309999,20.000000,20.000000,2229100
2014-02-19,20.660000,21.490000,20.469999,20.559999,20.559999,3382600
2014-02-20,20.940001,20.990000,19.969999,20.020000,20.020000,1920000
2014-02-21,20.010000,20.290001,19.889999,20.030001,20.030001,1566100
2014-02-24,20.389999,20.450001,19.430000,19.520000,19.520000,2098000
2014-02-25,19.469999,20.540001,19.459999,20.450001,20.450001,2275300
2014-02-26,21.180000,21.200001,20.270000,20.469999,20.469999,1947400
2014-02-27,20.500000,21.520000,20.270000,21.299999,21.299999,1939100
2014-02-28,21.379999,21.700001,20.450001,20.850000,20.850000,1806900
2014-03-03,20.350000,20.750000,20.030001,20.650000,20.650000,1635900
2014-03-04,20.910000,21.870001,20.820000,21.700001,21.700001,2843400
2014-03-05,22.219999,24.430000,22.020000,24.350000,24.350000,7115000
2014-03-06,24.969999,25.000000,23.400000,24.290001,24.290001,5170100
2014-03-07,24.969999,25.040001,23.799999,24.799999,24.799999,4431200
2014-03-10,24.820000,25.080000,24.020000,24.549999,24.549999,2990700
2014-03-11,24.660000,24.900000,23.510000,23.670000,23.670000,3236400
2014-03-12,23.660000,24.290001,22.309999,23.879999,23.879999,4067400
2014-03-13,23.750000,23.750000,21.520000,21.990000,21.990000,10569100
2014-03-14,21.150000,22.500000,21.100000,21.850000,21.850000,3081200
2014-03-17,21.959999,22.770000,21.719999,22.549999,22.549999,2501900
2014-03-18,22.770000,23.660000,22.660000,23.080000,23.080000,2212300
2014-03-19,23.139999,23.500000,22.459999,22.690001,22.690001,1553600
2014-03-20,22.549999,23.049999,22.180000,22.799999,22.799999,1349000
2014-03-21,23.000000,23.000000,21.719999,21.930000,21.930000,4161400
2014-03-24,21.959999,22.750000,20.850000,21.770000,21.770000,2017400
2014-03-25,21.840000,22.040001,21.100000,21.860001,21.860001,2116900
2014-03-26,21.910000,22.850000,21.590000,21.690001,21.690001,2470000
2014-03-27,21.600000,21.860001,21.059999,21.170000,21.170000,1228600
2014-03-28,21.059999,21.219999,19.969999,20.129999,20.129999,3103300
2014-03-31,20.180000,20.629999,19.730000,20.540001,20.540001,2027800
2014-04-01,20.719999,21.490000,20.500000,21.420000,21.420000,2820400
2014-04-02,21.370001,22.500000,21.120001,22.129999,22.129999,3576100
2014-04-03,22.280001,22.400000,20.639999,21.170000,21.170000,2710700
2014-04-04,21.459999,21.459999,19.900000,20.270000,20.270000,2965500
2014-04-07,20.049999,20.190001,18.070000,18.650000,18.650000,4935300
2014-04-08,19.100000,19.100000,18.090000,18.129999,18.129999,2554300
2014-04-09,18.549999,19.520000,18.219999,19.360001,19.360001,3347700
2014-04-10,20.980000,21.400000,19.370001,19.559999,19.559999,7024900
2014-04-11,19.020000,19.030001,18.110001,18.190001,18.190001,3149600
2014-04-14,18.410000,18.646999,16.440001,16.790001,16.790001,5920200
2014-04-15,16.780001,16.900000,15.180000,16.129999,16.129999,4996300
2014-04-16,16.440001,17.080000,15.810000,16.990000,16.990000,3153200
2014-04-17,17.750000,18.240000,17.250000,17.969999,17.969999,4301900
2014-04-21,18.270000,19.280001,18.100000,19.110001,19.110001,3425400
2014-04-22,18.980000,20.200001,18.969999,19.570000,19.570000,3149900
2014-04-23,19.790001,20.530001,19.540001,19.750000,19.750000,3129900
2014-04-24,19.860001,19.959999,18.600000,19.320000,19.320000,1766400
2014-04-25,18.990000,18.990000,17.900000,18.250000,18.250000,2557200
2014-04-28,18.250000,18.450001,17.010000,18.379000,18.379000,4211500
2014-04-29,15.390000,15.460000,12.850000,13.120000,13.120000,19358600
2014-04-30,13.420000,13.770000,13.060000,13.520000,13.520000,4244300
2014-05-01,13.510000,13.640000,12.920000,13.310000,13.310000,3050200
2014-05-02,13.240000,13.680000,13.010000,13.420000,13.420000,2295800
2014-05-05,13.430000,14.080000,13.120000,13.660000,13.660000,3233600
2014-05-06,13.630000,13.790000,13.070000,13.260000,13.260000,1700900
2014-05-07,13.220000,13.500000,11.800000,12.680000,12.680000,2941200
2014-05-08,12.610000,13.168000,12.217000,12.230000,12.230000,2159500
2014-05-09,12.120000,12.250000,11.660000,11.930000,11.930000,3371600
2014-05-12,12.930000,13.200000,12.360000,12.670000,12.670000,9647100
2014-05-13,13.000000,13.060000,12.240000,12.840000,12.840000,3816800
2014-05-14,12.730000,13.720000,12.500000,13.420000,13.420000,4677600
2014-05-15,13.230000,13.350000,12.600000,12.990000,12.990000,2968300
2014-05-16,13.020000,13.820000,12.510000,13.680000,13.680000,5231400
2014-05-19,14.310000,15.120000,14.310000,14.480000,14.480000,6726000
2014-05-20,14.510000,14.940000,14.270000,14.510000,14.510000,3034600
2014-05-21,14.420000,15.440000,14.420000,15.250000,15.250000,3527000
2014-05-22,15.800000,16.459999,15.350000,16.430000,16.430000,4115300
2014-05-23,16.370001,16.740000,15.760000,16.379999,16.379999,3552300
2014-05-27,16.730000,17.530001,16.540001,17.490000,17.490000,4189400
2014-05-28,17.170000,17.750000,16.559999,17.680000,17.680000,2800400
2014-05-29,17.400000,19.030001,17.360001,18.670000,18.670000,3240900
2014-05-30,18.459999,18.850000,17.400000,18.090000,18.090000,4167200
2014-06-02,18.150000,18.450001,17.700001,17.820000,17.820000,1597100
2014-06-03,17.620001,18.275000,17.100000,18.080000,18.080000,1704100
2014-06-04,17.900000,18.959999,17.730000,18.299999,18.299999,2332500
2014-06-05,18.420000,19.150000,18.120001,18.150000,18.150000,3444700
2014-06-06,18.180000,18.590000,18.059999,18.480000,18.480000,1975700
2014-06-09,18.500000,19.360001,18.320000,19.290001,19.290001,3068400
2014-06-10,19.400000,19.440001,18.650000,19.010000,19.010000,1782600
2014-06-11,18.809999,18.990000,18.450001,18.680000,18.680000,1436300
2014-06-12,18.709999,18.889999,17.870001,18.139999,18.139999,2633900
2014-06-13,17.969999,18.190001,17.521000,18.090000,18.090000,1748300
2014-06-16,17.990000,18.940001,17.920000,18.750000,18.750000,2177800
2014-06-17,18.660000,19.420000,18.459999,18.920000,18.920000,2209900
2014-06-18,18.920000,19.200001,18.370001,18.889999,18.889999,3077500
2014-06-19,18.990000,19.320000,18.700001,18.954000,18.954000,2107700
2014-06-20,18.940001,19.000000,18.205000,18.410000,18.410000,2709800
2014-06-23,18.350000,19.820000,18.250000,19.490000,19.490000,3919600
2014-06-24,19.500000,19.500000,18.549999,18.580000,18.580000,2550100
2014-06-25,18.600000,19.280001,18.420000,19.240000,19.240000,1832700
2014-06-26,19.150000,19.309999,18.719999,18.820000,18.820000,1232200
2014-06-27,18.740000,19.139999,18.639999,18.969999,18.969999,7152900
2014-06-30,18.950001,19.790001,18.820000,19.559999,19.559999,2001600
2014-07-01,19.600000,19.600000,18.910000,18.950001,18.950001,2196500
2014-07-02,19.059999,19.500000,18.650000,18.770000,18.770000,1739000
2014-07-03,18.969999,19.100000,18.850000,18.980000,18.980000,473200
2014-07-07,18.969999,19.080000,18.049999,18.120001,18.120001,1512600
2014-07-08,18.120001,18.190001,16.639999,17.250000,17.250000,3080000
2014-07-09,17.240000,17.500000,16.809999,17.030001,17.030001,1017400
2014-07-10,16.299999,16.469999,15.430000,16.219999,16.219999,2230700
2014-07-11,16.280001,16.879999,15.860000,16.580000,16.580000,1338700
2014-07-14,16.740000,17.410000,16.500000,16.940001,16.940001,1159900
2014-07-15,16.940001,17.219999,16.080000,16.200001,16.200001,1969400
2014-07-16,16.370001,16.525000,15.890000,16.129999,16.129999,1510800
2014-07-17,15.990000,16.469999,15.840000,16.049999,16.049999,1399500
2014-07-18,16.030001,16.510000,15.940000,16.480000,16.480000,1079400
2014-07-21,16.309999,16.780001,16.010000,16.610001,16.610001,924900
2014-07-22,16.740000,17.790001,16.610001,16.940001,16.940001,1753900
2014-07-23,17.000000,17.230000,16.580000,16.959999,16.959999,1169600
2014-07-24,17.010000,17.049999,16.622000,16.870001,16.870001,1012500
2014-07-25,16.760000,17.120001,16.760000,16.990000,16.990000,900800
2014-07-28,16.850000,16.950001,16.299999,16.389999,16.389999,1247700
2014-07-29,16.440001,17.150000,16.290001,16.740000,16.740000,1198200
2014-07-30,16.850000,17.580000,16.730000,17.280001,17.280001,1339200
2014-07-31,17.080000,17.120001,16.209999,16.209999,16.209999,1632000
2014-08-01,16.219999,16.440001,15.278000,15.830000,15.830000,1647800
2014-08-04,15.940000,16.410000,15.680000,16.240000,16.240000,1251100
2014-08-05,16.129999,16.320000,15.690000,16.061001,16.061001,1142500
2014-08-06,15.920000,16.070000,15.410000,15.690000,15.690000,1606000
2014-08-07,15.830000,16.200001,15.400000,15.660000,15.660000,1525900
2014-08-08,15.760000,16.010000,15.450000,15.970000,15.970000,1770800
2014-08-11,15.560000,15.600000,14.030000,15.240000,15.240000,5224900
2014-08-12,15.080000,15.160000,14.350000,14.510000,14.510000,1872900
2014-08-13,14.570000,14.990000,14.430000,14.590000,14.590000,1578300
2014-08-14,14.560000,14.800000,14.480000,14.800000,14.800000,1195600
2014-08-15,15.000000,16.080000,14.910000,15.810000,15.810000,2735400
2014-08-18,16.090000,16.590000,15.920000,16.360001,16.360001,1592900
2014-08-19,16.459999,16.750000,16.170000,16.469999,16.469999,1298000
2014-08-20,16.410000,17.200001,16.379999,16.790001,16.790001,1895700
2014-08-21,16.850000,18.070000,16.809999,17.750000,17.750000,3753400
2014-08-22,17.700001,17.840000,17.100000,17.650000,17.650000,1514800
2014-08-25,17.790001,17.950001,17.620001,17.790001,17.790001,917800
2014-08-26,17.760000,17.809999,17.285000,17.490000,17.490000,1183900
2014-08-27,17.530001,17.809999,17.139999,17.190001,17.190001,1186200
2014-08-28,17.059999,17.090000,16.680000,16.830000,16.830000,730600
